id,supl_iata,start,end,supplier,iata,value,currency,per_volume,supl_iata_1,value_per_usdc
229,Aurora-LOS,2020-01-06,2021-03-31,Aurora,LOS,1.6677,USD,gallion.USG.UGL,,166.76999999999998
230,Aurora-LUX,2020-07-18,2021-03-31,Aurora,LUX,1.286,USD,gallion.USG.UGL,,128.6
231,Aurora-LXR,2021-01-04,2022-03-31,Aurora,LXR,215.65,USDC,gallion.USG.UGL,,198.0438975112499
232,Aurora-MBA,2023-01-02,2024-03-31,Aurora,MBA,3.0531,USD,gallion.USG.UGL,,305.31
233,Aurora-MCT,2020-01-06,2021-03-31,Aurora,MCT,0.7785,USD,gallion.USG.UGL,,77.85
234,Aurora-MIA,2020-05-05,2021-03-31,Aurora,MIA,1.1086,USD,gallion.USG.UGL,,110.86
235,Aurora-MLA,2020-01-05,2021-03-31,Aurora,MLA,1.745,USD,gallion.USG.UGL,,174.5
236,Aurora-MRU,2021-01-04,2022-03-31,Aurora,MRU,202.14,USDC,gallion.USG.UGL,,185.6368812563137
237,Aurora-MVR,2021-01-04,2022-03-31,Aurora,MVR,770,USD,mTon,,233.18089598620028
238,Aurora-ODS,2020-01-04,2021-03-31,Aurora,ODS,942,USD,mTon,,285.26805716753336
239,Aurora-OSR,2020-08-09,2021-03-31,Aurora,OSR,2.4934,USD,gallion.USG.UGL,,249.33999999999997
240,Aurora-OUA,2020-11-05,2021-03-31,Aurora,OUA,2.3997,EUR,gallion.USG.UGL,,220.3783634860869
241,Aurora-PHC,2020-01-08,2021-03-31,Aurora,PHC,1.63,USD,gallion.USG.UGL,,163.0
